station_name|primary_station_id|report_id|observation_id|longitude|latitude|height_of_station_above_sea_level|report_timestamp|report_meaning_of_time_stamp|report_duration|observed_variable|units|observation_value|quality_flag|source_id|data_policy_licence|platform_type|report_type|value_significance
COLOMBO EXPRESS|DIHC|ICOADS-302-RJEUMC|ICOADS-302-RJEUMC-SST|-140.2|43.6|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|290.15|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUN1|ICOADS-302-RJEUN1-SST|-3.0|43.3|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|293.15|1|2|0|2|0|2
STI OXFORD|V7DJ5|ICOADS-302-RJEUN2|ICOADS-302-RJEUN2-SST|-3.0|43.3|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|293.15|1|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUON|ICOADS-302-RJEUON-SST|-83.1|42.3|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|285.35|0|2|0|2|0|2
KAYE E. BARKER (AWS)|WCF3012|ICOADS-302-RJEUOO|ICOADS-302-RJEUOO-SST|-83.1|42.3|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|285.35|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUPJ|ICOADS-302-RJEUPJ-SST|-87.4|41.7|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|281.45|0|2|0|2|0|2
JAMES R. BARKER (AWS)|WYP8657|ICOADS-302-RJEUPK|ICOADS-302-RJEUPK-SST|-87.4|41.7|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|281.45|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUPL|ICOADS-302-RJEUPL-SST|-83.4|41.7|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|281.85|0|2|0|2|0|2
HERBERT C. JACKSON (AWS)|WL3972|ICOADS-302-RJEUPM|ICOADS-302-RJEUPM-SST|-83.4|41.7|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|281.85|0|2|0|2|0|2
OSAKA EXPRESS|DDVK2|ICOADS-302-RJEUQF|ICOADS-302-RJEUQF-SST|156.8|41.4|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|290.75|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUQG|ICOADS-302-RJEUQG-SST|156.8|41.4|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|290.75|0|2|0|2|0|2
